1810959892 reads of which  0.110008192274% dirties
1814793107 reads of which  0.109931708596% dirties
1818625918 reads of which  0.109857169648% dirties
1822458970 reads of which  0.109784509442% dirties
1826291829 reads of which  0.109712257274% dirties
1830125004 reads of which  0.109646166006% dirties
1833958087 reads of which  0.109582702803% dirties
1837791585 reads of which  0.109511871554% dirties
1841624047 reads of which  0.10943715376% dirties
1845455888 reads of which  0.109361841869% dirties
1849288029 reads of which  0.109287043895% dirties
1853120156 reads of which  0.109213263017% dirties
1856952359 reads of which  0.109137987853% dirties
1860784918 reads of which  0.10907174281% dirties
1864618078 reads of which  0.109002407194% dirties
1868450690 reads of which  0.108935004327% dirties
1872283132 reads of which  0.108864096736% dirties
1876114987 reads of which  0.108790919221% dirties
1879946727 reads of which  0.108718729666% dirties
1883779195 reads of which  0.108648708162% dirties
1887611816 reads of which  0.108575863036% dirties
1891444255 reads of which  0.108504860483% dirties
1895276121 reads of which  0.1084330461% dirties
1899107151 reads of which  0.108360060617% dirties
1902938330 reads of which  0.108287228625% dirties
1906769342 reads of which  0.108215278825% dirties
1910600734 reads of which  0.108142598986% dirties
1914432427 reads of which  0.108070544607% dirties
1918264519 reads of which  0.108001845912% dirties
1922096613 reads of which  0.107931261414% dirties
1925928249 reads of which  0.107861780992% dirties
1929759273 reads of which  0.107791687756% dirties
1933590352 reads of which  0.107722633589% dirties
1937421267 reads of which  0.107653838921% dirties
1941251987 reads of which  0.107584165476% dirties
Closing  /home/moritz/glob/data/TARA_work/samples/all_shuffled_00005.fastq
1945082447 reads of which  0.107515990041% dirties
1948913584 reads of which  0.107449004778% dirties
1952744737 reads of which  0.10738123116% dirties
1956576314 reads of which  0.107315058706% dirties
1960406904 reads of which  0.107246202087% dirties
1964238563 reads of which  0.107179022429% dirties
1968071262 reads of which  0.107111706304% dirties
1971903855 reads of which  0.107044408613% dirties
1975736170 reads of which  0.106979296229% dirties
1979568297 reads of which  0.106914187968% dirties
1983400098 reads of which  0.106848615775% dirties
1987230958 reads of which  0.106782561003% dirties
1991061164 reads of which  0.106717379075% dirties
1994891647 reads of which  0.106653382062% dirties
1998722087 reads of which  0.106590164979% dirties
2002552305 reads of which  0.106526431029% dirties
2006382465 reads of which  0.106462098192% dirties
2010212024 reads of which  0.106396818568% dirties
2014042014 reads of which  0.10633277385% dirties
2017872648 reads of which  0.106273963926% dirties
2021702576 reads of which  0.106210661029% dirties
2025531728 reads of which  0.106147044763% dirties
2029360476 reads of which  0.106084995518% dirties
2033189246 reads of which  0.106022173009% dirties
2037018575 reads of which  0.105961927225% dirties
2040848381 reads of which  0.105904467481% dirties
